2012-09-16 12:37:16  [40] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 12:39:43 WARN [40] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 12:39:45 WARN [40] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 12:39:46 WARN [40] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 13:21:56 WARN [44] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 13:21:57 WARN [44] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 13:21:57 WARN [44] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 13:21:58 WARN [44] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 13:21:58 WARN [44] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 13:21:58 WARN [44] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
2012-09-16 13:21:59 WARN [44] F:\kissgo\kissgo\kissgo\core\kissgo.php - debug
